Response	Submitted_on	Course	Q01_My_Professor	Q02_Gender	Q03_Hand	Q04_Hand_Span	Q05_Left_Hand_Span	Q06_Height	Q07_Age	Q08_Birthday	Q09_Sleeping	Q10_On_campus	Q11_Watching_TV	Q12_Games	Q13_Facebook	Q14_Tattoos	Q15_Twitter	Q16_Political_Orientation	Q17_STAT	Q18_Data	Q19_Famous	Q20_Career	Q21_Death_Penalty	Q22_gays_and_lesbians	Q23_Gays_and_Lesbians_Military	Q24_Greatest_influence	Q25_Greatest_influence_2	Q26_Greatest_influence_3	Q27_Stat_course	Q28_Enrolled_Course
16575	10:59 PM on 09/19/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	21	21	73	20	11	10	1	2	0	90	0	0	Moderate	1	information	Not important	Very important	strongly favor	favor	favor	No opinion	No opinion	Education	Regular Lecures	STAT 10
16576	11:33 PM on 09/19/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	17.4	17.5	63	19	5	6	1	0	0	20	1	0	Moderate	0	specific Information	Important	Very important	no opinion	strongly oppose	oppose	Religious Beliefs	Religious Beliefs	Religious Beliefs	Regular Lecures	STAT 10
16577	12:11 AM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Left	15	15	65	19	10	6	1	0	0	15	0	0	Liberal	1	numerical correlated info	Not important	One of the most important things, but not the most important.	oppose	strongly favor	strongly favor	I don't know	Friends and family	Friends and family	Regular Lecures	STAT 10
16578	12:11 AM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Left	15	15	65	19	10	6	1	0	0	15	0	0	Liberal	1	numerical correlated info	Not important	One of the most important things, but not the most important.	oppose	strongly favor	strongly favor	I don't know	Friends and family	Friends and family	Regular Lecures	STAT 10
16581	10:27 AM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Left	23	24	75	19	10	8	0	3	1	60	0	0	Liberal	1	observational information	Somewhat important	Somewhat important	oppose	favor	favor	Friends and family	Education	Education	Regular Lecures	STAT 10
16583	12:18 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18.5	20	64	18	11	9	1	0	0	99	0	0	Moderate	0	set of information	Somewhat important	Very important	oppose	favor	favor	Education	Education	Education	Regular Lecures	STAT 10
16584	12:31 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	18	18	5.5	21	2	9	0	0	0	90	0	0	Liberal	0	result of variables	Not important	Very important	no opinion	favor	favor	No opinion	Friends and family	Media	Regular Lecures	STAT 10
16589	01:44 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	20.5	20	69	20	1	6.5	0	1	0	99	0	0	Moderate	0	information	Not important	One of the most important things, but not the most important.	favor	oppose	favor	Friends and family	Something else	Personal Experience	Regular Lecures	STAT 10
16590	01:58 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	20	20	62	19	2	8	1	3	0	25	0	0	Moderate	0	information	Somewhat important	One of the most important things, but not the most important.	favor	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16592	02:29 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Left	19.5	19	64	19	9	9	1	6	0	99	0	0	Moderate	1	information or facts	Not important	Important	favor	favor	favor	Education	Education	Education	Regular Lecures	STAT 10
16593	02:39 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18.5	18	63	19	9	6	1	0	5	99	0	0	Very Liberal	1	Information	Not important	Not important	no opinion	strongly favor	strongly favor	I don't know	Friends and family	Media	Regular Lecures	STAT 10
16594	02:59 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20.3	20.4	64.5	21	4	8	0	1	0	21	0	0	Moderate	0	values	One of the most important things, but not the most important.	One of the most important things, but not the most important.	oppose	favor	no opinion	Something else	Education	No opinion	Regular Lecures	STAT 10
16595	03:12 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	23	21.5	66	19	24	7	0	0	0	99	0	0	Moderate	1	a set of information	Important	Very important	oppose	no opinion	favor	Education	Education	Education	Regular Lecures	STAT 10
16596	03:21 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	17.5	17.5	63	19	2	7	0	0	0	?	0	3	Moderate	1	Information	Somewhat important	Somewhat important	strongly oppose	oppose	favor	Religious Beliefs	Religious Beliefs	Personal Experience	Regular Lecures	STAT 10
16597	03:22 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	21.9	22.3	67	20	5	8	0	0	5	6 h	0	0	Moderate	1	results	Not important	Somewhat important	favor	oppose	no opinion	I don't know	Religious Beliefs	I don't know	Regular Lecures	STAT 10
16598	03:27 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	22	21.5	63	19	9	10	1	5	0	30	0	0	Moderate	1	Statistical information	Not important	Very important	favor	no opinion	no opinion	No opinion	No opinion	No opinion	Regular Lecures	STAT 10
16599	06:11 PM on 09/22/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	21	20	64	21	2	8	0	2	4	20	0	0	Moderate	1	collected information	Not important	Important	favor	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16600	03:49 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	13	13	65	19	6	8	1	0	0	23	0	0	Liberal	1	information	Somewhat important	Important	favor	strongly favor	strongly favor	Education	Friends and family	No opinion	Regular Lecures	STAT 10
16601	03:54 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	23	22	68	21	10	10	0	3	1	80	0	2	Liberal	1	number	Somewhat important	Important	oppose	favor	strongly favor	Media	Personal Experience	Religious Beliefs	Regular Lecures	STAT 10
16602	04:05 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	21	21	64	19	8	8	1	0	3	50	0	0	Conservative	1	information	Somewhat important	Somewhat important	favor	favor	favor	Something else	Friends and family	Media	Regular Lecures	STAT 10
16603	04:07 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19	19.5	67	20	2	7	1	6	0	47	0	0	Moderate	0	information compiled	Not important	Somewhat important	oppose	favor	favor	Religious Beliefs	Personal Experience	I don't know	Regular Lecures	STAT 10
16604	04:08 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18.5	18.2	63	21	6	8	0	2	0	50	0	0	Moderate	1	collection of facts	Don't know for sure	Somewhat important	favor	no opinion	no opinion	Media	No opinion	No opinion	Regular Lecures	STAT 10
16605	04:11 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	23.5	23	68	20	3	8	0	3	1	40	0	0	Moderate	1	a set of facts	Somewhat important	Important	no opinion	no opinion	no opinion	No opinion	No opinion	No opinion	Regular Lecures	STAT 10
16607	04:29 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	12	12	63	19	4	10	1	0	0	48	0	0	Moderate	1	collected information	Not important	One of the most important things, but not the most important.	favor	strongly favor	strongly favor	Friends and family	Friends and family	Something else	Regular Lecures	STAT 10
16608	04:36 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	19	19	68	20	8	7.5	0	4	0	73	0	0	Conservative	1	numerical information	Somewhat important	One of the most important things, but not the most important.	no opinion	oppose	favor	Media	Religious Beliefs	Something else	Regular Lecures	STAT 10
16609	04:40 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	12	12	65	19	2	7	0	0	0	99	0	0	Liberal	1	numbers for analysis	Somewhat important	Very important	no opinion	favor	no opinion	Media	Media	No opinion	Regular Lecures	STAT 10
16610	04:51 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Left	22	21.5	69	35	4	5	0	2	0	na	0	0	Conservative	1	body of facts or info	Not important	Very important	oppose	strongly oppose	no opinion	Religious Beliefs	Religious Beliefs	No opinion	Regular Lecures	STAT 10
16611	04:58 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	17	16.5	62	20	6	5	0	0	0	99	0	0	Moderate	1	Numbers	Not important	Somewhat important	favor	strongly favor	strongly favor	Personal Experience	Personal Experience	I don't know	Regular Lecures	STAT 10
16612	05:02 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	19.3	20.2	63	20	1	10	0	0	0.25	99	0	0	Moderate	0	information collected	Not important	Somewhat important	oppose	strongly favor	strongly favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16613	05:10 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	17	17	67	21	3	7	0	0	3	99	0	0	Liberal	1	qualitative/quantative	Somewhat important	Very important	favor	favor	favor	I don't know	I don't know	I don't know	Regular Lecures	STAT 10
16614	05:21 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	21.6	21.3	68	19	3	7	0	5	3	15	0	0	Liberal	1	information	Somewhat important	Important	oppose	strongly favor	strongly favor	Something else	Education	Education	Regular Lecures	STAT 10
16616	05:32 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	19	19.5	64	19	3	8	0	0	1	99	0	0	Very Liberal	1	numbers, information	Somewhat important	Very important	oppose	favor	favor	I don't know	Personal Experience	Media	Regular Lecures	STAT 10
16617	05:38 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	17	19.2	63	19	2	8	1	1.5	0	40	0	0	Liberal	0	statistics compiled	Not important	Somewhat important	oppose	strongly favor	strongly favor	Education	Personal Experience	Media	Regular Lecures	STAT 10
16618	05:42 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20.5	21.5	65.5	19	4	11	1	0	0.33	72	0	4	Liberal	0	Information collected	Very important	One of the most important things, but not the most important.	favor	strongly favor	strongly favor	Friends and family	Friends and family	I don't know	Regular Lecures	STAT 10
16619	05:43 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20.5	21.5	65.5	19	4	11	1	0	0.33	72	0	4	Liberal	0	Information collected	Very important	One of the most important things, but not the most important.	favor	strongly favor	strongly favor	Friends and family	Friends and family	I don't know	Regular Lecures	STAT 10
16620	05:56 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18.1	18.4	59	20	about 5 months ago	7.5	0	0	1	0	0	doesn't have twitter	Moderate	1	collection of information	Not important	One of the most important things, but not the most important.	no opinion	favor	favor	Something else	Something else	Something else	Regular Lecures	STAT 10
16622	06:19 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	19.5	19	70	19	11.5	7	0	4	4	56	1	0	Moderate	1	experimental results	Not important	One of the most important things, but not the most important.	favor	favor	favor	Personal Experience	Friends and family	Friends and family	Regular Lecures	STAT 10
16624	06:51 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	20	64	18	4	7	1	1	0	32	0	1	Liberal	1	collected information	Somewhat important	Important	favor	strongly favor	strongly favor	Education	Education	Education	Regular Lecures	STAT 10
16625	07:03 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18.5	18	68	19	9 months	5	1	0	0	50	0	0	Moderate	1	information	Not important	Very important	favor	strongly favor	strongly favor	I don't know	Friends and family	Media	Regular Lecures	STAT 10
16626	07:21 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	21	21	64	19	7	7	1	0	0	31	0	0	Liberal	1	Information	Not important	Somewhat important	strongly oppose	no opinion	no opinion	Friends and family	Education	Education	Regular Lecures	STAT 10
16627	07:47 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	19	19	69	20	6	10	0	2	0	80	0	15	Moderate	1	stats about info	Somewhat important	Very important	oppose	no opinion	no opinion	Education	Personal Experience	No opinion	Regular Lecures	STAT 10
16628	07:49 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	20	20	66	19	0.27	8	1	1	0	99	0	0	Moderate	1	statistics of variables	Not important	Important	favor	favor	strongly favor	Friends and family	I don't know	I don't know	Regular Lecures	STAT 10
16630	07:58 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	14.7	14.7	60	18	11	6	0	4	0	99	0	0	Moderate	1	facts or statistics	Not important	One of the most important things, but not the most important.	favor	no opinion	favor	Friends and family	Media	Media	Regular Lecures	STAT 10
16631	08:12 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	22	22	63	19	11	7	0	2	0	50	0	0	Moderate	1	results	Not important	Important	favor	strongly favor	strongly favor	I don't know	Friends and family	Friends and family	Regular Lecures	STAT 10
16632	08:32 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Left	17	17	67	19	7	7	1	0	0	60	0	0	Moderate	1	facts, observations	Not important	Important	oppose	favor	favor	Something else	Friends and family	Education	Regular Lecures	STAT 10
16633	08:56 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	17.8	17.8	6	20	1	8	1	0	0	1k	0	0	Conservative	1	measurable facts	Not important	Important	favor	favor	favor	Something else	Friends and family	Friends and family	Regular Lecures	STAT 10
16635	09:09 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18	19	60	21	8	7	0	4	0	50	0	0	Liberal	1	gathered information	Not important	Important	favor	favor	strongly favor	Education	Personal Experience	Education	Regular Lecures	STAT 10
16636	09:18 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	21	21	63	39	3 month	6	0	0	0	20	0	0	Moderate	1	information	Somewhat important	One of the most important things, but not the most important.	oppose	oppose	no opinion	Something else	Religious Beliefs	No opinion	Regular Lecures	STAT 10
16637	09:41 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	16	16	61.2	19	10 months ago	6	1	0	0	&gt;9	1	6	Moderate	1	collected information	Somewhat important	Important	oppose	favor	strongly favor	Religious Beliefs	Education	Education	Regular Lecures	STAT 10
16638	09:44 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	20	20	66	21	6	7	0	0	0	99	0	0	Moderate	1	informatioin	Not important	Very important	favor	strongly favor	strongly favor	Friends and family	Friends and family	Friends and family	Regular Lecures	STAT 10
16640	11:17 PM on 09/20/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	24	24	65	19	6	6.5	1	1	0	99	0	0	Moderate	1	collected information	Very important	One of the most important things, but not the most important.	favor	favor	strongly favor	Something else	Education	Something else	Regular Lecures	STAT 10
16641	11:30 PM on 09/20/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	17.7	17.9	5.4	17	9	8	1	0	0	50	0	0	Moderate	1	things help to build mode	Somewhat important	Important	favor	strongly favor	strongly favor	Media	Something else	Something else	Regular Lecures	STAT 10
16643	12:11 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	14	13	68	19	10	7	1	0	0	0	0	0	Liberal	1	a set of numbers	Not important	Important	oppose	strongly favor	strongly favor	Friends and family	Friends and family	Friends and family	Regular Lecures	STAT 10
16644	01:02 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	14.5	15	69.6	19	7	7	0	0	0	6	0	0	Conservative	1	information, facts	Not important	Important	oppose	oppose	strongly favor	Religious Beliefs	Religious Beliefs	I don't know	Regular Lecures	STAT 10
16645	01:20 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	17.5	18	72	20	11	10	0	1	4	99	0	0	Liberal	0	Group of specific info	Not important	Very important	oppose	strongly favor	strongly favor	I don't know	Something else	Media	Regular Lecures	STAT 10
16646	01:45 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Female	Right	18	19.2	60	19.8	9 months	11	0	0	0	&gt;9	0	0	Moderate	1	information	Not important	Important	no opinion	favor	favor	Personal Experience	Religious Beliefs	I don't know	Regular Lecures	STAT 10
16648	08:35 AM on 09/21/2011	Introduction to Statistical Reasoning	Mahtash Esfandiari	Male	Right	21	20.5	67	20	2	7	0	0	1	99	0	0	Conservative	1	information	Not important	Somewhat important	strongly favor	strongly oppose	no opinion	Religious Beliefs	Religious Beliefs	Personal Experience	Regular Lecures	STAT 10
16649	09:22 AM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Female	Right	19.3	19.5	60	19	8	10	1	0	0	99	0	0	Liberal	1	Information	Not important	One of the most important things, but not the most important.	oppose	strongly favor	strongly favor	Education	Friends and family	Friends and family	Regular Lecures	STAT 10
16650	09:43 AM on 09/21/2011	Introduction to Statistical Reasoning	Akram Almohalwas	Male	Right	15.2	15.3	68	19	5	7	0	1	0	99	0	0	Liberal	0	organized info	Somewhat important	Very important	strongly favor	strongly favor	favor	Something else	Something else	Media	Regular Lecures	STAT 10
