"city","type","bed","bath","garage","sqft","pool","price"
"Long Beach","Condo/Twh",2,2,"0",990,"N",169000
"Long Beach","Condo/Twh",2,2,"0",1020,"N",160000
"Long Beach","Condo/Twh",2,2,"0",1047,"N",334900
"Long Beach","Condo/Twh",2,2,"0",1080,"N",329000
"Long Beach","Condo/Twh",2,2,"0",1080,"N",729000
"Long Beach","Condo/Twh",2,2,"0",1146,"N",175000
"Long Beach","Condo/Twh",2,2,"0",1171,"N",249900
"Long Beach","Condo/Twh",2,2,"0",1184,"N",279900
"Long Beach","Condo/Twh",2,2,"0",1198,"N",223100
"Long Beach","Condo/Twh",2,2,"0",1251,"N",231900
"Long Beach","Condo/Twh",2,2,"0",1253,"N",315000
"Long Beach","Condo/Twh",2,2,"0",1264,"N",1150000
"Long Beach","Condo/Twh",2,2,"0",1340,"N",5e+05
"Long Beach","Condo/Twh",2,2,"0",1590,"N",699000
"Long Beach","Condo/Twh",2,2,"1",750,"N",219900
"Long Beach","Condo/Twh",2,2,"1",751,"N",145000
"Long Beach","Condo/Twh",2,2,"1",751,"N",147900
"Long Beach","Condo/Twh",2,2,"1",782,"N",130000
"Long Beach","Condo/Twh",2,2,"1",794,"N",275000
"Long Beach","Condo/Twh",2,2,"1",800,"N",175000
"Long Beach","Condo/Twh",2,2,"1",827,"N",119900
"Long Beach","Condo/Twh",2,2,"1",830,"N",239000
"Long Beach","Condo/Twh",2,2,"1",842,"N",120000
"Long Beach","Condo/Twh",2,2,"1",856,"N",210000
"Long Beach","Condo/Twh",2,2,"1",880,"N",139000
"Long Beach","Condo/Twh",2,2,"1",898,"N",154900
"Long Beach","Condo/Twh",2,2,"1",909,"N",109000
"Long Beach","Condo/Twh",2,2,"1",909,"N",289000
"Long Beach","Condo/Twh",2,2,"1",913,"N",220000
"Long Beach","Condo/Twh",2,2,"1",920,"N",219182
"Long Beach","Condo/Twh",2,2,"1",923,"N",194900
"Long Beach","Condo/Twh",2,2,"1",937,"N",169000
"Long Beach","Condo/Twh",2,2,"1",942,"N",110000
"Long Beach","Condo/Twh",2,2,"1",954,"N",250000
"Long Beach","Condo/Twh",2,2,"1",954,"N",349000
"Long Beach","Condo/Twh",2,2,"1",956,"N",182000
"Long Beach","Condo/Twh",2,2,"1",960,"N",399900
"Long Beach","Condo/Twh",2,2,"1",961,"N",379990
"Long Beach","Condo/Twh",2,2,"1",982,"N",175000
"Long Beach","Condo/Twh",2,2,"1",990,"N",359000
"Long Beach","Condo/Twh",2,2,"1",1010,"N",159900
"Long Beach","Condo/Twh",2,2,"1",1014,"N",155000
"Long Beach","Condo/Twh",2,2,"1",1016,"N",185000
"Long Beach","Condo/Twh",2,2,"1",1018,"N",395000
"Long Beach","Condo/Twh",2,2,"1",1035,"N",529900
"Long Beach","Condo/Twh",2,2,"1",1040,"N",599000
"Long Beach","Condo/Twh",2,2,"1",1045,"N",260000
"Long Beach","Condo/Twh",2,2,"1",1060,"N",549000
"Long Beach","Condo/Twh",2,2,"1",1074,"N",280000
"Long Beach","Condo/Twh",2,2,"1",1076,"N",309000
"Long Beach","Condo/Twh",2,2,"1",1080,"N",279000
"Long Beach","Condo/Twh",2,2,"1",1080,"N",648800
"Long Beach","Condo/Twh",2,2,"1",1081,"N",290000
"Long Beach","Condo/Twh",2,2,"1",1116,"N",580000
"Long Beach","Condo/Twh",2,2,"1",1156,"N",299000
"Long Beach","Condo/Twh",2,2,"1",1158,"N",435000
"Long Beach","Condo/Twh",2,2,"1",1178,"N",309900
"Long Beach","Condo/Twh",2,2,"1",1192,"N",225000
"Long Beach","Condo/Twh",2,2,"1",1274,"N",449000
"Long Beach","Condo/Twh",2,2,"1",1300,"N",895000
"Long Beach","Condo/Twh",2,2,"1",1325,"N",389700
"Long Beach","Condo/Twh",2,2,"1",1360,"N",379000
"Long Beach","Condo/Twh",2,2,"1",1410,"N",385000
"Long Beach","Condo/Twh",2,2,"1",1413,"N",769000
"Long Beach","Condo/Twh",2,2,"1",1510,"N",469000
"Long Beach","Condo/Twh",2,2,"1",1510,"N",555000
"Long Beach","Condo/Twh",2,2,"1",1510,"N",559000
"Long Beach","Condo/Twh",2,2,"2",680,"N",120000
"Long Beach","Condo/Twh",2,2,"2",680,"N",124900
"Long Beach","Condo/Twh",2,2,"2",680,"N",125000
"Long Beach","Condo/Twh",2,2,"2",784,"N",199000
"Long Beach","Condo/Twh",2,2,"2",820,"N",1e+05
"Long Beach","Condo/Twh",2,2,"2",820,"N",165000
"Long Beach","Condo/Twh",2,2,"2",827,"N",129900
"Long Beach","Condo/Twh",2,2,"2",834,"N",199000
"Long Beach","Condo/Twh",2,2,"2",840,"N",160000
"Long Beach","Condo/Twh",2,2,"2",840,"N",170000
"Long Beach","Condo/Twh",2,2,"2",860,"N",139900
"Long Beach","Condo/Twh",2,2,"2",860,"N",209900
"Long Beach","Condo/Twh",2,2,"2",869,"N",2e+05
"Long Beach","Condo/Twh",2,2,"2",880,"N",275000
"Long Beach","Condo/Twh",2,2,"2",888,"N",235128
"Long Beach","Condo/Twh",2,2,"2",892,"N",180000
"Long Beach","Condo/Twh",2,2,"2",898,"N",160000
"Long Beach","Condo/Twh",2,2,"2",902,"N",175000
"Long Beach","Condo/Twh",2,2,"2",904,"N",185000
"Long Beach","Condo/Twh",2,2,"2",906,"N",189000
"Long Beach","Condo/Twh",2,2,"2",910,"N",137900
"Long Beach","Condo/Twh",2,2,"2",913,"N",159000
"Long Beach","Condo/Twh",2,2,"2",913,"N",2e+05
"Long Beach","Condo/Twh",2,2,"2",920,"N",185000
"Long Beach","Condo/Twh",2,2,"2",920,"N",255000
"Long Beach","Condo/Twh",2,2,"2",930,"N",156800
"Long Beach","Condo/Twh",2,2,"2",930,"N",169000
"Long Beach","Condo/Twh",2,2,"2",930,"N",225000
"Long Beach","Condo/Twh",2,2,"2",930,"N",225000
"Long Beach","Condo/Twh",2,2,"2",954,"N",260000
"Long Beach","Condo/Twh",2,2,"2",957,"N",195000
"Long Beach","Condo/Twh",2,2,"2",957,"N",280000
"Long Beach","Condo/Twh",2,2,"2",960,"N",169900
"Long Beach","Condo/Twh",2,2,"2",960,"N",265000
"Long Beach","Condo/Twh",2,2,"2",961,"N",189900
"Long Beach","Condo/Twh",2,2,"2",978,"N",180000
"Long Beach","Condo/Twh",2,2,"2",985,"N",255000
"Long Beach","Condo/Twh",2,2,"2",990,"N",159000
"Long Beach","Condo/Twh",2,2,"2",1000,"N",230000
"Long Beach","Condo/Twh",2,2,"2",1000,"N",425000
"Long Beach","Condo/Twh",2,2,"2",1014,"N",155000
"Long Beach","Condo/Twh",2,2,"2",1014,"N",169000
"Long Beach","Condo/Twh",2,2,"2",1015,"N",185000
"Long Beach","Condo/Twh",2,2,"2",1020,"N",449000
"Long Beach","Condo/Twh",2,2,"2",1020,"N",629900
"Long Beach","Condo/Twh",2,2,"2",1022,"N",289000
"Long Beach","Condo/Twh",2,2,"2",1023,"N",188000
"Long Beach","Condo/Twh",2,2,"2",1028,"N",311900
"Long Beach","Condo/Twh",2,2,"2",1028,"N",314900
"Long Beach","Condo/Twh",2,2,"2",1028,"N",330000
"Long Beach","Condo/Twh",2,2,"2",1029,"N",359000
"Long Beach","Condo/Twh",2,2,"2",1040,"N",343000
"Long Beach","Condo/Twh",2,2,"2",1048,"N",179800
"Long Beach","Condo/Twh",2,2,"2",1049,"N",175000
"Long Beach","Condo/Twh",2,2,"2",1050,"N",225000
"Long Beach","Condo/Twh",2,2,"2",1052,"N",345000
"Long Beach","Condo/Twh",2,2,"2",1053,"N",225000
"Long Beach","Condo/Twh",2,2,"2",1065,"N",230000
"Long Beach","Condo/Twh",2,2,"2",1070,"N",290000
"Long Beach","Condo/Twh",2,2,"2",1070,"N",360000
"Long Beach","Condo/Twh",2,2,"2",1070,"N",435000
"Long Beach","Condo/Twh",2,2,"2",1070,"N",479900
"Long Beach","Condo/Twh",2,2,"2",1079,"N",249900
"Long Beach","Condo/Twh",2,2,"2",1080,"N",356001
"Long Beach","Condo/Twh",2,2,"2",1098,"N",325000
"Long Beach","Condo/Twh",2,2,"2",1100,"N",235000
"Long Beach","Condo/Twh",2,2,"2",1121,"N",325000
"Long Beach","Condo/Twh",2,2,"2",1146,"N",340000
"Long Beach","Condo/Twh",2,2,"2",1151,"N",299500
"Long Beach","Condo/Twh",2,2,"2",1155,"N",219900
"Long Beach","Condo/Twh",2,2,"2",1160,"N",349000
"Long Beach","Condo/Twh",2,2,"2",1200,"N",385110
"Long Beach","Condo/Twh",2,2,"2",1206,"N",379000
"Long Beach","Condo/Twh",2,2,"2",1217,"N",390000
"Long Beach","Condo/Twh",2,2,"2",1227,"N",369900
"Long Beach","Condo/Twh",2,2,"2",1231,"N",310000
"Long Beach","Condo/Twh",2,2,"2",1251,"N",639900
"Long Beach","Condo/Twh",2,2,"2",1286,"N",159900
"Long Beach","Condo/Twh",2,2,"2",1313,"N",527000
"Long Beach","Condo/Twh",2,2,"2",1333,"N",250000
"Long Beach","Condo/Twh",2,2,"2",1340,"N",621500
"Long Beach","Condo/Twh",2,2,"2",1400,"N",375000
"Long Beach","Condo/Twh",2,2,"2",1400,"N",457500
"Long Beach","Condo/Twh",2,2,"2",1400,"N",519900
"Long Beach","Condo/Twh",2,2,"2",1443,"N",988000
"Long Beach","Condo/Twh",2,2,"2",1509,"N",439000
"Long Beach","Condo/Twh",2,2,"2",1540,"N",895000
"Long Beach","Condo/Twh",2,2,"2",1542,"N",699000
"Long Beach","Condo/Twh",2,2,"2",1542,"N",735000
"Long Beach","Condo/Twh",2,2,"2",1619,"N",369990
"Long Beach","Condo/Twh",2,2.5,"0",1332,"N",389900
"Long Beach","Condo/Twh",2,3,"0",979,"N",175000
"Long Beach","Condo/Twh",2,3,"1",1206,"N",395000
"Long Beach","Condo/Twh",2,3,"1",1300,"N",875000
"Long Beach","Condo/Twh",2,3,"1",1300,"N",875000
"Long Beach","Condo/Twh",2,3,"2",949,"N",195000
"Long Beach","Condo/Twh",2,3,"2",1020,"N",230000
"Long Beach","Condo/Twh",2,3,"2",1056,"N",199000
"Long Beach","Condo/Twh",2,3,"2",1284,"N",372000
"Long Beach","Condo/Twh",2,3,"2",1290,"N",375000
"Long Beach","Condo/Twh",2,3,"2",1290,"N",399900
"Long Beach","Condo/Twh",2,3,"2",1293,"N",179999
"Long Beach","Condo/Twh",2,3,"2",1320,"N",371000
"Long Beach","Condo/Twh",2,3,"2",1391,"N",299000
"Long Beach","Condo/Twh",2,3,"2",1474,"N",4e+05
"Long Beach","Condo/Twh",2,3,"2",1700,"N",599000
"Long Beach","Condo/Twh",2,3,"2",1741,"N",849000
"Long Beach","Condo/Twh",2,3,"2",2000,"N",995000
"Long Beach","Condo/Twh",2,3,"2",3055,"N",2100000
"Long Beach","Condo/Twh",3,2,"0",1260,"N",325000
"Long Beach","Condo/Twh",3,2,"0",1310,"N",335000
"Long Beach","Condo/Twh",3,2,"0",1638,"N",459900
"Long Beach","Condo/Twh",3,2,"0",1724,"N",549000
"Long Beach","Condo/Twh",3,2,"1",1102,"N",327000
"Long Beach","Condo/Twh",3,2,"1",1122,"N",348000
"Long Beach","Condo/Twh",3,2,"1",1406,"N",439000
"Long Beach","Condo/Twh",3,2,"1",1484,"N",529000
"Long Beach","Condo/Twh",3,2,"1",1910,"N",395000
"Long Beach","Condo/Twh",3,2,"2",1040,"N",255000
"Long Beach","Condo/Twh",3,2,"2",1120,"N",339000
"Long Beach","Condo/Twh",3,2,"2",1158,"N",3e+05
"Long Beach","Condo/Twh",3,2,"2",1260,"N",419000
"Long Beach","Condo/Twh",3,2,"2",1260,"N",649000
"Long Beach","Condo/Twh",3,2,"2",1260,"N",699500
"Long Beach","Condo/Twh",3,2,"2",1282,"N",799000
"Long Beach","Condo/Twh",3,2,"2",1319,"N",589000
"Long Beach","Condo/Twh",3,2,"2",1340,"N",1150000
"Long Beach","Condo/Twh",3,2,"2",1380,"N",349000
"Long Beach","Condo/Twh",3,2,"2",1400,"N",559000
"Long Beach","Condo/Twh",3,2,"2",1425,"N",899000
"Long Beach","Condo/Twh",3,2,"2",1551,"N",649990
"Long Beach","Condo/Twh",3,2,"2",1551,"N",995000
"Long Beach","Condo/Twh",3,2,"2",1551,"N",1100000
"Long Beach","Condo/Twh",3,2,"2",1558,"N",564500
"Long Beach","Condo/Twh",3,2,"2",1592,"N",579900
"Long Beach","Condo/Twh",3,2,"2",1652,"N",1165000
"Long Beach","Condo/Twh",3,2,"2",1957,"N",315000
"Long Beach","Condo/Twh",3,2.5,"0",1436,"N",319000
"Long Beach","Condo/Twh",3,3,"0",1640,"N",338000
"Long Beach","Condo/Twh",3,3,"0",2360,"N",685000
"Long Beach","Condo/Twh",3,3,"2",1519,"N",149900
"Long Beach","Condo/Twh",3,3,"2",1728,"N",539000
"Long Beach","Condo/Twh",3,3,"2",1728,"N",619000
"Long Beach","Condo/Twh",3,3,"2",1735,"N",1300000
"Long Beach","Condo/Twh",3,3,"2",1748,"N",995000
"Long Beach","Condo/Twh",3,3,"2",1800,"N",450000
"Long Beach","Condo/Twh",3,3,"2",1800,"N",1250000
"Long Beach","Condo/Twh",3,3,"2",2068,"N",645000
"Long Beach","Condo/Twh",3,3,"2",2220,"N",899000
"Long Beach","Condo/Twh",3,3,"2",2350,"N",1049000
"Long Beach","Condo/Twh",3,3,"2",3290,"N",1999999
"Long Beach","Condo/Twh",3,3,"2",3490,"N",1850000
"Long Beach","Condo/Twh",3,4,"2",2026,"N",450000
"Long Beach","Condo/Twh",4,2,"0",1090,"N",147500
"Long Beach","Condo/Twh",4,3,"2",2043,"N",475000
"Long Beach","Condo/Twh",4,3,"2",2078,"N",495000
"Long Beach","Condo/Twh",4,4,"2",2068,"N",770000
"Long Beach","Land",0,0,"0",0,"N",160000
"Long Beach","Land",0,0,"0",0,"N",2e+05
"Long Beach","Land",0,0,"0",0,"N",338500
"Long Beach","Land",0,0,"0",0,"N",449000
"Long Beach","Land",0,0,"0",0,"N",8e+05
"Long Beach","Land",0,0,"0",0,"N",850000
"Long Beach","Land",0,0,"0",0,"N",3795000
"Long Beach","Mobile",2,2,"0",0,"N",115000
"Long Beach","Mobile",2,2,"0",0,"N",124900
"Long Beach","Mobile",2,2,"0",0,"N",185000
"Long Beach","Mobile",2,2,"0",0,"N",193000
"Long Beach","Mobile",3,2,"0",0,"N",139000
"Long Beach","Mobile",3,2,"0",0,"N",159495
"Long Beach","Mobile",3,2,"0",0,"N",225000
"Long Beach","Mobile",3,3,"0",0,"N",150000
"Long Beach","SFR",1,1,"0",578,"N",157290
"Long Beach","SFR",1,1,"0",606,"N",140000
"Long Beach","SFR",1,1,"0",608,"N",132500
"Long Beach","SFR",1,1,"0",646,"N",140000
"Long Beach","SFR",1,1,"0",746,"N",152000
"Long Beach","SFR",1,1,"1",528,"N",154900
"Long Beach","SFR",1,1,"1",549,"N",439900
"Long Beach","SFR",1,1,"1",624,"N",131900
"Long Beach","SFR",1,1,"1",681,"N",210000
"Long Beach","SFR",1,1,"1",888,"N",409000
"Long Beach","SFR",2,1,"0",560,"N",115000
"Long Beach","SFR",2,1,"0",638,"N",149000
"Long Beach","SFR",2,1,"0",706,"N",224900
"Long Beach","SFR",2,1,"0",714,"N",119900
"Long Beach","SFR",2,1,"0",714,"N",185000
"Long Beach","SFR",2,1,"0",722,"N",195000
"Long Beach","SFR",2,1,"0",771,"N",220000
"Long Beach","SFR",2,1,"0",810,"N",299000
"Long Beach","SFR",2,1,"0",814,"N",244900
"Long Beach","SFR",2,1,"0",825,"N",189000
"Long Beach","SFR",2,1,"0",825,"N",230000
"Long Beach","SFR",2,1,"0",825,"N",240000
"Long Beach","SFR",2,1,"0",848,"N",336000
"Long Beach","SFR",2,1,"0",856,"N",120000
"Long Beach","SFR",2,1,"0",914,"N",210000
"Long Beach","SFR",2,1,"0",968,"N",599900
"Long Beach","SFR",2,1,"0",1044,"N",390000
"Long Beach","SFR",2,1,"0",1047,"N",246900
"Long Beach","SFR",2,1,"0",1048,"N",250000
"Long Beach","SFR",2,1,"0",1556,"N",526000
"Long Beach","SFR",2,1,"1",648,"N",149900
"Long Beach","SFR",2,1,"1",655,"N",139900
"Long Beach","SFR",2,1,"1",672,"N",125000
